n00001740	entity
n05372924	lingual vein, vena lingualis
n05373145	lumbar vein, vena lumbalis
n05373300	maxillary vein, vena maxillaris
n05373495	meningeal veins, venae meningeae
n05373616	mesenteric vein, vena mesenterica
n05373790	metacarpal vein, vena metacarpus
n05373924	metatarsal vein, vena metatarsus
n05374101	musculophrenic vein, vena musculophrenica
n05374280	nasofrontal vein, vena nasofrontalis
n05374475	oblique vein of the left atrium, vena obliqua atrii sinistri
n05374658	obturator vein, vena obturatoria
n05374861	occipital vein, vena occipitalis
n05374980	ophthalmic vein, vena ophthalmica
n05375169	inferior ophthalmic vein
n05375322	superior ophthalmic vein
n05375530	ovarian vein, vena ovarica
n05375729	palatine vein, vena palatina
n05375881	pancreatic vein, venae pancreatica
n05376050	paraumbilical vein, vena paraumbilicalis
n05376219	parotid vein
n05376391	pectoral vein, vena pectoralis
n05376541	perforating vein, vena perforantis
n05376721	pericardial vein, vena pericardiaca
n05376844	peroneal vein, fibular vein, vena peroneus
n05377098	pharyngeal vein, vena pharyngeus
n05377252	phrenic vein, vena phrenica
n05377371	popliteal vein, vena poplitea
n05377515	portal system
n05377665	portal vein, hepatic portal vein, portal, vena portae
n05377833	posterior vein of the left ventricle, vena posterior ventriculi sinistri
n05378022	prepyloric vein, vena pylorica
n05378137	pudendal vein, venae pudendum
n05378234	pulmonary vein, vena pulmonalis
n05378458	inferior pulmonary vein, vena pulmanalis inferior
n05378654	superior pulmonary vein, vena pulmonalis superior
n05378850	pyloric vein, right gastric vein, vena gastrica-dextra
n05379039	radial vein, vena radialis
n05379247	renal vein, vena renalis
n05379438	retromandibular vein, vena retromandibularis, posterior facial vein
n05379635	sacral vein, vena sacralis
n05379734	saphenous vein, vena saphena
n05379944	long saphenous vein, great saphenous vein
n05380122	short saphenous vein
n05380252	scleral veins, venae sclerales
n05380404	scrotal vein, vena scrotalis
n05380532	sigmoid vein, vena sigmoideus
n05380697	spinal vein, vena spinalis
n05380822	splenic vein, vena lienalis
n05381036	stellate venule
n05381148	sternocleidomastoid vein, vena sternocleidomastoidea
n05381325	stylomastoid vein, vena stylomastoidea
n05381491	subclavian vein, vena subclavia
n05381666	sublingual vein, vena sublingualis
n05381779	supraorbital vein, vena supraorbitalis
n05381956	supratrochlear vein, vena supratrochlearis
n05382135	temporal vein, vena temporalis
n05382316	deep temporal vein
n05382432	middle temporal vein
n05382589	superficial temporal vein
n05382729	testicular vein, vena testicularis
n05382855	thalamostriate vein
n05383004	thoracoepigastric vein, vena thoracoepigastrica
n05383216	superior thalamostriate vein
n05383348	inferior thalamostriate vein, striate vein
n05383467	thoracic vein, vena thoracica
n05383598	thyroid vein, vena thyroidea
n05383791	inferior thyroid vein
n05383956	middle thyroid vein
n05384128	superior thyroid vein
n05384300	tibial vein, vena tibialis
n05384446	tracheal vein, vena trachealis
n05384560	tympanic vein
n05384691	ulnar vein, vena ulnaris
n05384817	umbilical vein, vena umbilicalis
n05384999	uterine vein
n05385161	gallbladder, gall bladder
n05385363	hypochondrium
n05385534	liver
n05386139	Haversian canal
n05386309	hepatic lobe
n05386426	hepatic duct
n05386544	inguinal canal, canalis inguinalis
n05386845	common bile duct, bile duct
n05387028	biliary ductule
n05387167	pancreas
n05387395	pancreatic duct
n05387544	lung
n05387842	alveolar bed
n05387959	lobe of the lung
n05388115	pleura
n05388311	parietal pleura
n05388437	visceral pleura
n05388527	pleural cavity
n05388665	pleural space
n05388805	heart, pump, ticker
n05389182	athlete's heart
n05389310	biauriculate heart
n05389460	pacemaker, cardiac pacemaker, sinoatrial node, SA node
n05389625	cusp, leaflet
n05389762	flap
n05389939	cardiac muscle, heart muscle
n05390233	papillary muscle
n05390479	atrioventricular bundle, bundle of His, atrioventricular trunk, truncus atrioventricularis
n05390761	atrioventricular node
n05391000	myocardium
n05391118	Purkinje fiber
n05391269	Purkinje network, Purkinje's tissue, Purkinje's system
n05391540	area of cardiac dullness
n05391763	ventricle, heart ventricle
n05391977	left ventricle
n05392157	right ventricle
n05392348	auricle, atrial auricle, auricula atrii
n05392562	auricula, auricular appendage, auricular appendix
n05392744	chamber
n05392906	cranial cavity, intracranial cavity
n05393023	atrium
n05393230	atrium cordis, atrium of the heart
n05393429	right atrium, right atrium of the heart, atrium dextrum
n05393629	left atrium, left atrium of the heart, atrium sinistrum
n05393813	mitral valve, bicuspid valve, left atrioventricular valve
n05393996	tricuspid valve, right atrioventricular valve
n05394277	atrioventricular valve
n05394526	aortic valve
n05394707	pulmonary valve
n05394904	semilunar valve
n05395098	heart valve, cardiac valve
n05395286	valve
n05395548	valvule, valvelet, valvula
n05395690	stomach, tummy, tum, breadbasket
n05396071	epigastrium
n05396229	cardia
n05396366	lymphatic system, systema lymphaticum
n05396690	thoracic duct
n05396807	lymph vessel, lymphatic vessel
n05397032	lacteal
n05397178	vascular structure
n05397333	vessel, vas
n05397468	liquid body substance, bodily fluid, body fluid, humor, humour
n05398023	extracellular fluid, ECF
n05398298	interstitial fluid
n05398462	intracellular fluid
n05398609	juice, succus
n05398760	cancer juice
n05398871	karyolymph
n05399034	milk
n05399243	mother's milk
n05399356	colostrum, foremilk
n05399486	amniotic cavity
n05399627	amniotic fluid, amnionic fluid, waters
n05399847	blood
n05400445	arterial blood
n05400601	blood group, blood type
n05400860	A, type A, group A
n05400978	B, type B, group B
n05401096	AB, type AB, group AB
n05401229	O, type O, group O
n05401411	Rh-positive blood type, Rh positive
n05401587	Rh-negative blood type, Rh-negative blood, Rh negative
n05401753	gore
n05401851	lifeblood
n05401951	bloodstream, blood stream
n05402091	clot, coagulum
n05402333	blood clot, grume
n05402472	cord blood
n05402576	menorrhea, menstrual blood, menstrual flow
n05402788	venous blood
n05402961	whole blood
n05403149	serum, blood serum
n05403427	plasma, plasm, blood plasma
n05403702	antiserum
n05403849	chyle
n05404074	lymph
n05404336	semen, seed, seminal fluid, ejaculate, cum, come
n05404598	ink
n05404728	secretion
n05405139	lacrimal secretion, lachrymal secretion
n05405324	tear, teardrop
n05405554	lacrimal apparatus
n05405751	perspiration, sweat, sudor
n05405946	digestive juice, digestive fluid
n05406128	gastric juice, gastric acid
n05406397	pancreatic juice
n05406570	bile, gall
n05406782	black bile, melancholy
n05406958	yellow bile, choler
n05407119	hormone, endocrine, internal secretion
n05407772	intestinal juice
n05407890	noradrenaline, norepinephrine
n05408113	adrenocorticotropic hormone, adrenocorticotrophic hormone, ACTH, adrenocorticotropin, adrenocorticotrophin, corticotropin, corticotrophin
n05408388	epinephrine, epinephrin, adrenaline, Adrenalin
n05408684	gastrointestinal hormone, GI hormones
n05408908	gastrin
n05409136	cholecystokinin
n05409426	secretin
n05409663	ghrelin
n05409945	motilin
n05410131	glucagon
n05410315	gonadotropin, gonadotrophin, gonadotropic hormone, gonadotrophic hormone
n05410646	insulin
n05410901	Lente Insulin, Lente Iletin
n05411049	recombinant human insulin, Humulin
n05411338	melatonin
n05411430	neurohormone
n05411571	oxytocin, Pitocin
n05411785	parathyroid hormone, parathormone
n05412053	relaxin
n05412242	releasing hormone, RH, releasing factor, hypothalamic releasing hormone, hypothalamic releasing factor
n05412649	somatotropin, somatotrophin, somatotropic hormone, somatotrophic hormone, STH, human growth hormone, growth hormone
n05412912	Protropin
n05413102	thymosin
n05413241	thyroid hormone
n05413465	calcitonin, thyrocalcitonin
n05413647	thyroxine, thyroxin, tetraiodothyronine, T
n05413873	triiodothyronine, liothyronine, T
n05414147	vasopressin, antidiuretic hormone, ADH, Pitressin
n05414534	autacoid, autocoid
n05414724	histamine
n05414931	prostaglandin
n05415200	synovia, synovial fluid
n05415395	mucus, mucous secretion
n05415815	phlegm, sputum
n05416048	snot
n05416128	booger
n05416198	saliva, spit, spittle
n05416545	salivary duct
n05416678	drool, dribble, drivel, slobber
n05416861	tobacco juice
n05416979	sebum
n05417162	smegma
n05417272	lochia
n05417472	pus, purulence, suppuration, ichor, sanies, festering
n05417698	gleet
n05417821	leukorrhea, leucorrhea
n05417975	blood vessel
n05418177	ductus arteriosus
n05418432	patent ductus arteriosus
n05418585	vasa vasorum
n05418717	vein, vena, venous blood vessel
n05421414	venation, venous blood system
n05421586	varicose vein
n05421723	vena bulbi penis
n05421900	vena canaliculi cochleae
n05421997	vein of penis
n05422135	venae dorsales penis superficiales
n05422317	venae dorsales penis profunda
n05422457	vena profunda penis
n05422574	vena bulbi vestibuli
n05422668	vena cava
n05422852	inferior vena cava, postcava
n05423095	superior vena cava, precava
n05423319	venae profundae clitoridis
n05423443	vena dorsalis clitoridis profunda
n05423595	venae dorsales clitoridis superficiales
n05423779	venae palpebrales
n05423882	venae interlobulares renis
n05424074	venae interlobulares hepatis
n05424199	venae renis
n05424351	venae labiales anteriores, anterior labial veins
n05424504	venae labiales posteriores, posterior labial veins
n05424679	venter
n05424796	venter
n05424963	ventral root, ventral horn, anterior root, anterior horn
n05425207	vertebral vein, vena vertebralis
n05425436	vesical vein, vena vesicalis
n05425581	vestibular vein, vena vestibularis
n05425703	vortex vein, vorticose vein, vena vorticosum
n05425910	capillary, capillary vessel
n05426087	venule, venula, capillary vein
n05426243	membrane, tissue layer
n05426989	retina
n05427346	ganglion cell, gangliocyte
n05427570	sarcolemma
n05427739	peritoneum
n05427946	peritoneal cavity, greater peritoneal sac
n05428136	bursa omentalis, omental bursa, lesser peritoneal cavity
n05428331	endocardium
n05428473	pericardium
n05428645	epicardium, visceral pericardium
n05428794	parietal pericardium
n05428974	pericardial cavity, pericardial space
n05429195	mesentery
n05429404	mesocolon
n05429525	omentum
n05429658	greater omentum, gastrocolic omentum, caul
n05429840	lesser omentum
n05429994	submucosa
n05430095	lymph node, lymph gland, node
n05430300	axillary node
n05430454	Peyer's patch, Peter's gland
n05430628	somatic cell, vegetative cell
n05431177	neoplastic cell
n05431285	cancer cell
n05431402	blastema
n05431585	energid, protoplast
n05431762	pronucleus
n05431926	zygote, fertilized ovum
n05432230	heterozygote
n05432420	homozygote
n05432623	parthenote
n05432736	protoplasm, living substance
n05432948	cytoplasm, cytol
n05433400	cytoplast
n05433496	cytoskeleton
n05433709	cytosol
n05433856	ectoplasm
n05433953	endoplasm
n05434053	hyaloplasm, ground substance
n05434203	lysosome
n05434361	microsome
n05434557	Golgi body, Golgi apparatus, Golgi complex, dictyosome
n05434784	nucleoplasm, karyoplasm
n05434927	nucleus, cell nucleus, karyon
n05435277	nucleolus, nucleole
n05435477	nucleolus organizer, nucleolus organiser, nucleolar organizer, nucleolar organiser
n05435722	germ plasm, plasm
n05435855	sex chromatin
n05436080	chromatin, chromatin granule
n05436381	achromatin
n05436548	linin
n05436752	gene, cistron, factor
n05437600	dominant gene
n05437785	allele, allelomorph
n05438130	dominant allele, dominant
n05438315	recessive allele, recessive
n05438483	genetic marker
n05438642	homeotic gene
n05438778	homeobox, homeobox gene
n05438956	lethal gene
n05439100	linkage group, linked genes
n05439286	modifier, modifier gene
n05439413	mutant gene
n05439582	haplotype
n05439810	cystic fibrosis transport regulator, CFTR
n05439942	nonallele
n05440046	operator gene
n05440207	operon
n05440410	oncogene, transforming gene
n05440555	polygene
n05440756	proto-oncogene
n05440875	recessive gene
n05441053	regulatory gene, regulator gene
n05441224	repressor gene
n05441338	structural gene
n05441468	suppressor, suppresser, suppressor gene, suppresser gene
n05441686	transgene
n05441806	tumor suppressor gene
n05441929	X-linked gene
n05442022	Y-linked gene, holandric gene
n05442131	chromosome
n05442594	X chromosome
n05442789	XX
n05442916	XXX
n05443050	XXY
n05443211	XY
n05443333	XYY
n05443484	Y chromosome
n05443651	sex chromosome
n05443966	autosome, somatic chromosome
n05444175	chromatid
n05444324	centromere, kinetochore
n05444610	acentric chromosome
n05444709	acrocentric chromosome
n05444876	karyotype
n05445099	metacentric chromosome
n05445247	telocentric chromosome
n05445389	mitochondrion, chondriosome
n05445546	sarcosome
n05445668	organelle, cell organelle, cell organ
n05446006	aster
n05446181	centriole
n05446394	ribosome
n05446767	centrosome, central body
n05446971	sarcoplasm
n05447087	vacuole
n05447218	sclera, sclerotic coat
n05447423	semipermeable membrane
n05447599	bone cell
n05447757	embryonic cell, formative cell
n05447962	blastocyte
n05448053	ameloblast
n05448149	osteoblast, bone-forming cell
n05448257	erythroblast
n05448400	fibroblast
n05448501	neuroblast
n05448597	myelocyte
n05448704	myeloblast
n05448827	sideroblast
n05448928	megakaryocyte
n05449073	osteoclast
n05449196	osteocyte
n05449268	blood cell, blood corpuscle, corpuscle
n05449538	akaryocyte, akaryote, acaryote
n05449661	megalocyte, macrocyte
n05449797	megaloblast
n05449959	leukocyte, leucocyte, white blood cell, white cell, white blood corpuscle, white corpuscle, WBC
n05450370	packed cells
n05450617	histiocyte
n05450740	macrophage
n05450888	phagocyte, scavenger cell
n05451099	fixed phagocyte
n05451265	free phagocyte
n05451384	lymphocyte, lymph cell
n05451695	B cell, B lymphocyte
n05451981	T cell, T lymphocyte
n05452204	helper T cell, helper cell, CD4 T cell, CD4 cell
n05452516	killer T cell, killer cell, cytotoxic T cell, CD8 T cell, CD8 cell
n05452765	lymphoblast
n05452845	plasma cell, plasmacyte
n05453057	plasmablast
n05453145	granulocyte
n05453267	monocyte
n05453412	monoblast
n05453523	basophil, basophile
n05453657	neutrophil, neutrophile
n05453815	microphage
n05453943	eosinophil, eosinophile
n05454070	red blood cell, RBC, erythrocyte
n05454452	acanthocyte
n05454578	microcyte
n05454702	reticulocyte
n05454833	sickle cell
n05454978	siderocyte
n05455113	spherocyte
n05455206	target cell
n05455375	fovea, fovea centralis
n05455563	parafovea
n05455690	macula, macula lutea, macular area, yellow spot
n05455912	visual cell
n05456082	blind spot, optic disc, optic disk
n05456257	cone, cone cell, retinal cone
n05456456	rod, rod cell, retinal rod
n05456622	fat cell, adipose cell
n05456732	reproductive cell, germ cell, sex cell
n05456945	gamete
n05457201	anisogamete
n05457343	isogamete
n05457469	sperm, sperm cell, spermatozoon, spermatozoan
n05457795	acrosome
n05457973	ovum, egg cell
n05458173	ootid
n05458300	ovule
n05458412	gametocyte
n05458576	oocyte
n05458703	polar body
n05458859	spermatocele
n05458990	spermatocyte
n05459101	spermatid
n05459232	muscle cell, muscle fiber, muscle fibre
n05459457	Leydig cell, Leydig's cell
n05459590	Sertoli cell, Sertoli's cell
n05459769	striated muscle cell, striated muscle fiber
n05459953	myofibril, myofibrilla, sarcostyle
n05460163	sarcomere
n05460291	smooth muscle
n05460473	smooth muscle, involuntary muscle
n05460759	smooth muscle cell
n05460870	immune system
n05461179	integumentary system
n05461349	reticuloendothelial system, RES
n05461610	mononuclear phagocyte system, MPS, system of macrophages
n05461816	muscular structure, musculature, muscle system
n05462057	musculoskeletal system
n05462315	nervous system, systema nervosum
n05462674	neural structure
n05463449	reflex arc
n05463533	center, centre, nerve center, nerve centre
n05463873	auditory center
n05464104	nerve fiber, nerve fibre
n05464378	medullated nerve fiber, myelinated nerve fiber
n05464534	Ranvier's nodes, nodes of Ranvier
n05464685	medullary sheath, myelin sheath
n05464939	neurolemma, neurilemma
n05465071	Schwann cell
n05465228	effector
n05465392	end organ
n05465567	nerve cell, neuron
n05465868	brain cell
n05466005	Golgi's cell, Golgi cell
n05466244	Purkinje cell
n05466393	end-plate, endplate, motor end plate
n05466575	osmoreceptor
n05466696	motor neuron, efferent neuron, motor nerve fiber, motoneuron
n05466892	sensory neuron, afferent neuron
n05467054	neuroglia, glia
n05467432	neurogliacyte, neuroglial cell, glial cell
n05467619	astroglia, macroglia
n05467758	astrocyte
n05467922	fibrous astrocyte
n05468098	protoplasmic astrocyte
n05468211	microglia
n05468351	microgliacyte
n05468523	oligodendroglia, oligodendria
n05468739	oligodendrocyte
n05468849	axon, axone
n05469032	nerve ending, nerve end
n05469240	free nerve ending
n05469424	Pacinian corpuscle
n05469664	proprioceptor
n05469861	dendrite
n05470013	hybridoma
n05470189	process, outgrowth, appendage
n05471181	caruncle, caruncula
n05471427	wattle, lappet
n05471629	condyle
n05471837	condylar process, condyloid process, mandibular condyle
n05472032	coronoid process, processus coronoideus
n05472205	coronoid process of the mandible
n05472394	lateral condyle
n05472538	medial condyle
n05472681	epicondyle
n05472846	lateral epicondyle
n05472959	fimbria
n05473104	apophysis
n05473318	spicule, spiculum
n05473507	osteophyte
n05473593	papilla
n05473735	papilla
n05473928	synapse
n05474195	neuromuscular junction, myoneural junction
n05474346	nerve, nervus
n05474738	motor nerve, efferent nerve, efferent
n05474976	motor fiber, efferent fiber
n05475134	sensory nerve, afferent nerve, afferent
n05475397	sensory fiber, afferent fiber
n05475562	lemniscus, fillet
n05475681	fiber bundle, fibre bundle, fascicle, fasciculus
n05475878	nerve pathway, tract, nerve tract, pathway
n05476094	commissure
n05476256	cranial nerve
n05476592	depressor, depressor nerve
n05476754	peduncle, cerebral peduncle
n05476915	hemisphere, cerebral hemisphere
n05477112	left hemisphere, left brain
n05477305	pyriform area, piriform area, pyriform lobe, piriform lobe
n05477510	right hemisphere, right brain
n05477686	rhinencephalon, olfactory brain
n05477946	olfactory nerve, nervii olfactorii, first cranial nerve
n05478139	olfactory bulb
n05478336	optic nerve, nervus opticus, second cranial nerve, optic tract
n05478526	oculomotor, oculomotor nerve, nervus oculomotorius, third cranial nerve
n05478684	trochlear, trochlear nerve, trochlearis, fourth cranial nerve
n05478896	trigeminal, trigeminal nerve, trigeminus, nervus trigeminus, fifth cranial nerve
n05479108	abducent, abducent nerve, abducens, abducens nerve, nervus abducens, sixth cranial nerve
n05479314	facial, facial nerve, nervus facialis, seventh cranial nerve
n05479503	acoustic nerve, auditory nerve, vestibulocochlear nerve, nervus vestibulocochlearis, eighth cranial nerve
n05479786	glossopharyngeal nerve, nervus glossopharyngeus, ninth cranial nerve
n05480076	vagus, vagus nerve, nervus vagus, pneumogastric, pneumogastric nerve, tenth cranial nerve, wandering nerve
n05480401	accessory nerve, spinal accessory, nervus accessorius, eleventh cranial nerve
n05480607	hypoglossal, hypoglossal nerve, nervus hypoglosus, twelfth cranial nerve
n05480794	central nervous system, CNS, systema nervosum centrale
n05481095	brain, encephalon
n05481549	neencephalon, neoencephalon
n05481746	neopallium, neocortex
n05481870	archipallium, paleocortex
n05481997	metencephalon
n05482129	paleencephalon, paleoencephalon, palaeencephalon
n05482328	leptomeninges
n05482529	dura mater, dura
n05482676	arachnoid, arachnoid membrane
n05482800	pia mater
n05482922	subarachnoid space
n05483122	neuropil, neuropile
n05483388	grey matter, gray matter, grey substance, gray substance, substantia grisea
n05483677	white matter, substantia alba
n05483890	pituitary, pituitary gland, pituitary body, hypophysis
n05484198	hypophyseal stalk
n05484355	anterior pituitary, anterior pituitary gland, adenohypophysis
n05484573	pars distilis, pars anterior
n05484711	pars intermedia
n05484862	posterior pituitary, posterior pituitary gland, neurohypophysis, pars nervosa
n05485098	pineal gland, pineal body, epiphysis cerebri, epiphysis
n05485314	islands of Langerhans, isles of Langerhans, islets of Langerhans
n05485554	cerebellum
n05485856	cerebellar hemisphere
n05485988	dentate nucleus
n05486159	vermis, vermis cerebelli
n05486319	paleocerebellum
n05486510	cerebral cortex, cerebral mantle, pallium, cortex
n05486920	cortical area, cortical region
n05487224	association area, association cortex
n05487423	geniculate body
n05487694	lateral geniculate body, corpus geniculatum laterale, lateral geniculate
n05487941	medial geniculate body, corpus geniculatum mediale, medial geniculate
n05488223	auditory area, auditory cortex
n05488385	Broca's area, Broca's center, Broca's gyrus, Broca's convolution, convolution of Broca
n05488615	Brodmann's area
n05488750	frontal gyrus
n05488909	temporal gyrus
n05489070	parietal gyrus
n05489231	occipital gyrus
n05489394	language area, language zone
n05489640	motor area, motor region, motor cortex, Rolando's area, excitable area
n05489810	sensorium
n05489998	sensorimotor area, sensorimotor region
n05490204	visual area, visual cortex
n05490370	Wernicke's area, Wernicke's center
n05490578	cortex
n05490799	medulla
n05490983	adrenal cortex
n05491154	renal cortex
n05491308	adrenal medulla
n05491461	corpus callosum
n05491612	pyramidal tract, pyramidal motor system, corticospinal tract
n05491993	cerebrum
n05492259	fold, plica
n05492426	gyrus, convolution
n05492655	central gyrus
n05492806	precentral gyrus
n05493002	precordium
n05493141	postcentral gyrus
n05493303	lobe
n05493650	lobule
n05493758	frontal lobe, frontal cortex
n05493992	prefrontal lobe, prefrontal cortex
n05494130	parietal lobe, parietal cortex
n05494365	occipital lobe, occipital cortex
n05494617	striate cortex, striate area, first visual area, area 17 of Brodmann, Brodmann's area 17
n05494933	temporal lobe, temporal ccortex
n05495172	medulla oblongata, medulla, bulb
n05495571	amygdala, amygdaloid nucleus, corpus amygdaloideum
n05495981	forebrain, prosencephalon
n05496261	hippocampus
n05496592	cingulate gyrus, gyrus cinguli
n05496802	telencephalon
n05496990	diencephalon, interbrain, betweenbrain, thalmencephalon
n05497363	basal ganglion
n05497741	caudate nucleus, caudate
n05497922	claustrum
n05498048	lenticular nucleus, lentiform nucleus
n05498300	pallidum, globus pallidus, paleostriatum
n05498460	putamen
n05498581	subthalamic nucleus
n05498773	limbic system, visceral brain, limbic brain
n05499044	subthalamus
n05499172	thalamus
n05499379	hypothalamus
n05499542	corpus striatum, striatum, striate body
n05499828	midbrain, mesencephalon
n05500006	substantia nigra, nucleus niger, locus niger
n05500312	superior colliculus
n05500465	inferior colliculus
n05500594	hindbrain, rhombencephalon
n05500812	myelencephalon
n05500992	pons, pons Varolii
n05501185	brainstem, brain-stem, brain stem
n05501485	reticulum
n05501711	neural network, neural net
n05501932	nucleus
n05502090	reticular formation, RF
n05502375	reticular activating system, RAS
n05502556	ventricle
n05502855	fourth ventricle
n05503009	third ventricle
n05503196	lateral ventricle
n05503401	cerebral aqueduct, Sylvian aqueduct, aqueductus cerebri
n05503555	radiation
n05503705	spinal cord, medulla spinalis
n05504107	spinal fluid, cerebrospinal fluid
n05504336	peripheral nervous system, systema nervosum periphericum
n05504532	autonomic nervous system, ANS
n05504807	radial nerve, nervus radialis, musculospiral nerve
n05505131	sympathetic nervous system
n05505479	splanchnic nerve
n05505679	parasympathetic nervous system, parasympathetic
n05506034	brachial plexus, plexus brachialis
n05506229	cardiac plexus, plexus cardiacus
n05506369	carotid plexus, plexus caroticus
n05506507	cervical plexus, plexus cervicalis
n05506648	choroid plexus, plexus choroideus
n05506832	coccygeal plexus, plexus coccygeus
n05506976	hypogastric plexus, plexus hypogastricus
n05507109	lumbar plexus, plexus lumbalis
n05507268	lumbar plexus, plexus lumbalis
n05507427	lumbosacral plexus
n05507642	mesenteric plexus, plexus mesentericus
n05507756	myenteric plexus, plexus myentericus
n05507977	periarterial plexus, plexus periarterialis
n05508113	plexus dentalis
n05508211	pterygoid plexus
n05508403	pulmonary plexis, plexus pulmonalis
n05508534	sacral plexus, plexus sacralis
n05508735	solar plexus, coeliac plexus, plexus celiacus, abdominal nerve plexus
n05508943	pit of the stomach, epigastric fossa
n05509146	reproductive system, genital system
n05509452	urogenital system, urogenital apparatus, urinary system, urinary apparatus, genitourinary system, genitourinary apparatus, systema urogenitale, apparatus urogenitalis
n05509889	respiratory system, systema respiratorium
n05510173	respiratory tract, airway
n05510358	lower respiratory tract
n05510506	upper respiratory tract
n05510702	sensory system
n05510907	tract
n05511061	urinary tract
n05511286	vascular system
n05511618	circulatory system, cardiovascular system
n05511975	fetal circulation, foetal circulation
n05512139	bladder, vesica
n05512337	urinary bladder
n05512505	introitus
n05512670	urethral orifice, external orifice
n05512835	ureter
n05513020	urethra
n05513302	reproductive organ, sex organ
n05513529	female reproductive system
n05513807	male reproductive system
n05514081	genitalia, genital organ, genitals, private parts, privates, crotch
n05514272	pudendum
n05514410	female genitalia, female genitals, female genital organ, fanny
n05514717	female internal reproductive organ
n05514905	male genitalia, male genitals, male genital organ, family jewels
n05515157	male internal reproductive organ
n05515287	ovary
n05515545	ovotestis
n05515670	sac
n05516067	target organ
n05516230	taret organ
n05516366	acinus
n05516554	bursa
n05516711	cisterna, cistern
n05516848	pouch, pocket
n05517145	cheek pouch
n05517268	marsupium
n05517406	scrotum
n05517578	vesicle, cyst
n05517837	blister, bulla, bleb
n05518094	follicle
n05518257	hair follicle
n05518449	Graafian follicle
n05518614	corpus luteum
n05518870	Fallopian tube, uterine tube, oviduct
n05519085	uterus, womb
n05519401	uterine cavity
n05519559	cervical canal, canalis cervicis uteri
n05519707	decidua
n05519820	endometrium
n05520168	myometrium
n05520292	liposome
n05520479	umbilical cord, umbilical
n05520699	placenta
n05520965	afterbirth
n05521111	vagina
n05521514	cunt, puss, pussy, slit, snatch, twat
n05521636	vulva
n05521934	hymen, maidenhead, virginal membrane
n05522148	imperforate hymen
n05522283	mons, mons veneris, mons pubis
n05522456	labium
n05522674	labia majora
n05522784	pudendal cleft, urogenital cleft, rima pudendi, rima vulvae, pudendal cleavage, pudendal slit, vulvar slit
n05522998	labia minora
n05523108	vestibule of the vagina
n05523269	erectile organ
n05523420	clitoris, clit, button
n05523629	Cowper's gland, bulbourethral gland
n05523859	Bartholin's gland
n05524062	cervical glands, cervical glands of the uterus, glandulae cervicales uteri
n05524243	seminiferous tubule
n05524430	gonad, sex gland
n05524615	testis, testicle, orchis, ball, ballock, bollock, nut, egg
n05525100	cobblers
n05525252	male reproductive gland
n05525391	undescended testis, undescended testicle
n05525628	epididymis
n05525807	rete testis
n05525970	vasa efferentia
n05526175	vas deferens, ductus deferens
n05526384	penis, phallus, member
n05526713	cock, prick, dick, shaft, pecker, peter, tool, putz
n05526860	micropenis, microphallus
n05526957	prepuce, foreskin
n05527085	prepuce, foreskin
n05527216	seminal duct
n05527389	ejaculatory duct
n05527597	seminal vesicle
n05527848	spermatic cord
n05528060	respiratory organ
n05528245	book lung
n05528395	alveolus, air sac, air cell
n05528604	nasal cavity
n05528854	nasopharynx
n05529012	oropharynx
n05529159	laryngopharynx
n05529286	pharyngeal tonsil, adenoid, Luschka's tonsil, third tonsil, tonsilla pharyngealis, tonsilla adenoidea
n05529729	larynx, voice box
n05530092	arytenoid, arytaenoid, arytenoid cartilage
n05530296	thyroid cartilage, Adam's apple
n05530429	vocal cord, vocal fold, vocal band, plica vocalis
n05530657	false vocal cord, false vocal fold, superior vocal cord, ventricular fold, vestibular fold
n05530871	true vocal cord, true vocal fold, inferior vocal cord, inferior vocal fold
n05531161	cartilaginous structure
n05531379	cartilaginous tube
n05531511	bronchus, bronchial tube
n05531666	bronchiole
n05531814	trachea, windpipe
n05532050	trachea
n05532225	alimentary canal, alimentary tract, digestive tube, digestive tract, gastrointestinal tract, GI tract
n05532641	enteron
n05532795	digestive gland
n05532944	salivary gland
n05533212	parotid gland
n05533392	sublingual gland, sublingual salivary gland
n05533635	submaxillary gland, submaxillary salivary gland, submandibular gland, submandibular salivary gland, mandibular gland
n05533948	esophagus, oesophagus, gorge, gullet
n05534174	epicardia
n05534333	intestine, bowel, gut
n05534578	hindgut
n05534712	small intestine
n05534955	duodenum
n05535095	pylorus
n05535247	jejunum
n05535367	ileum
n05535484	large intestine
n05535869	colon
n05536178	megacolon
n05536370	cecum, caecum, blind gut
n05536638	ileocecal valve
n05536858	transverse colon
n05537060	ascending colon
n05537243	descending colon
n05537417	sigmoid colon, sigmoid flexure
n05537576	appendix, vermiform appendix, vermiform process, cecal appendage
n05537806	rectum
n05538016	anus
n05538215	arse, arsehole, asshole, bunghole
n05538338	imperforate anus
n05538494	perineum
n05538625	head, caput
n05539012	poll
n05539138	human head
n05539370	bullethead
n05539454	attic, bean, bonce, noodle, noggin, dome
n05539595	pate, poll, crown
n05539717	tonsure
n05539834	epicranium
n05539947	scalp
n05540121	skull
n05540407	calvaria, skullcap
n05540513	cranium, braincase, brainpan
n05540976	occiput
n05541097	sinciput
n05541231	frontal bone, os frontale, forehead
n05541509	frontal eminence
n05541645	parietal bone
n05541872	occipital bone
n05542052	occipital protuberance
n05542193	mastoid, mastoid process, mastoid bone, mastoidal
n05542416	styloid process
n05542539	pterygoid process
